level,strategy,samples,win_rate,remaining_on_win,mean_score,one_star,two_star,three_star,boosters_per_game
1,RANDOM,8,1.0,16.125,31943.75,0,1,7,0.0
1,GREEDY,8,1.0,17.625,27762.5,0,1,7,0.0
1,STRATEGIC,8,1.0,17.5,56081.25,0,1,7,0.0
1,BOOSTER_ASSISTED,8,1.0,17.5,56081.25,0,1,7,0.0
2,RANDOM,8,1.0,18.5,33206.25,0,0,8,0.0
2,GREEDY,8,1.0,18.75,25606.25,0,0,8,0.0
2,STRATEGIC,8,1.0,19.375,47256.25,0,0,8,0.0
2,BOOSTER_ASSISTED,8,1.0,19.375,47256.25,0,0,8,0.0
3,RANDOM,8,1.0,18.75,11887.5,5,3,0,0.0
3,GREEDY,8,1.0,21.125,14487.5,4,2,2,0.0
3,STRATEGIC,8,1.0,21.25,15500.0,2,4,2,0.0
3,BOOSTER_ASSISTED,8,1.0,21.25,15500.0,2,4,2,0.0
4,RANDOM,8,1.0,13.625,21081.25,0,1,7,0.0
4,GREEDY,8,1.0,17.5,23350.0,0,0,8,0.0
4,STRATEGIC,8,1.0,17.875,22300.0,0,2,6,0.0
4,BOOSTER_ASSISTED,8,1.0,17.875,22300.0,0,2,6,0.0
5,RANDOM,8,0.75,11.833333333333334,34231.25,0,0,6,0.0
5,GREEDY,8,1.0,15.75,33162.5,0,0,8,0.0
5,STRATEGIC,8,1.0,15.75,33737.5,1,0,7,0.0
5,BOOSTER_ASSISTED,8,1.0,15.75,33737.5,1,0,7,0.0
6,RANDOM,8,1.0,17.0,22975.0,0,2,6,0.0
6,GREEDY,8,1.0,20.75,30450.0,0,2,6,0.0
6,STRATEGIC,8,1.0,19.875,23000.0,0,1,7,0.0
6,BOOSTER_ASSISTED,8,1.0,19.875,23000.0,0,1,7,0.0
7,RANDOM,8,0.625,15.8,65837.5,0,0,5,0.0
7,GREEDY,8,1.0,19.0,38875.0,0,2,6,0.0
7,STRATEGIC,8,1.0,21.0,31418.75,0,3,5,0.0
7,BOOSTER_ASSISTED,8,1.0,21.0,31418.75,0,3,5,0.0
8,RANDOM,8,1.0,13.0,15081.25,1,5,2,0.0
8,GREEDY,8,1.0,16.875,18725.0,0,4,4,0.0
8,STRATEGIC,8,1.0,16.25,14968.75,2,4,2,0.0
8,BOOSTER_ASSISTED,8,1.0,16.25,14968.75,2,4,2,0.0
9,RANDOM,8,0.375,8.0,72700.0,0,0,3,0.0
9,GREEDY,8,1.0,18.5,41675.0,0,0,8,0.0
9,STRATEGIC,8,1.0,16.125,44768.75,0,0,8,0.0
9,BOOSTER_ASSISTED,8,1.0,16.125,44768.75,0,0,8,0.0
10,RANDOM,8,0.75,6.833333333333333,20212.5,4,1,1,0.0
10,GREEDY,8,1.0,11.125,23193.75,3,4,1,0.0
10,STRATEGIC,8,1.0,9.125,19500.0,7,1,0,0.0
10,BOOSTER_ASSISTED,8,1.0,9.125,19500.0,7,1,0,0.0
11,RANDOM,8,1.0,15.25,15796.875,0,7,1,0.0
11,GREEDY,8,1.0,18.75,17378.125,1,5,2,0.0
11,STRATEGIC,8,1.0,19.375,14775.0,2,4,2,0.0
11,BOOSTER_ASSISTED,8,1.0,19.375,14775.0,2,4,2,0.0
12,RANDOM,8,1.0,14.125,28468.75,0,1,7,0.0
12,GREEDY,8,1.0,17.25,30993.75,0,2,6,0.0
12,STRATEGIC,8,1.0,19.375,30568.75,0,2,6,0.0
12,BOOSTER_ASSISTED,8,1.0,19.375,30568.75,0,2,6,0.0
13,RANDOM,8,0.5,11.25,32306.25,0,0,4,0.0
13,GREEDY,8,0.625,11.6,50531.25,0,1,4,0.0
13,STRATEGIC,8,1.0,12.5,31925.0,0,2,6,0.0
13,BOOSTER_ASSISTED,8,1.0,12.5,31925.0,0,2,6,0.0
14,RANDOM,8,0.5,9.5,70221.875,1,0,3,0.0
14,GREEDY,8,0.75,9.833333333333334,81721.875,0,1,5,0.0
14,STRATEGIC,8,1.0,18.375,37703.125,1,2,5,0.0
14,BOOSTER_ASSISTED,8,1.0,18.375,37703.125,1,2,5,0.0
15,RANDOM,8,0.625,12.2,23203.125,1,2,2,0.0
15,GREEDY,8,1.0,10.75,26853.125,2,3,3,0.0
15,STRATEGIC,8,1.0,13.875,18846.875,6,1,1,0.0
15,BOOSTER_ASSISTED,8,1.0,13.875,18846.875,6,1,1,0.0
16,RANDOM,8,0.75,12.5,59868.75,1,0,5,0.0
16,GREEDY,8,0.875,15.0,64003.125,0,0,7,0.0
16,STRATEGIC,8,1.0,17.5,42628.125,2,1,5,0.0
16,BOOSTER_ASSISTED,8,1.0,17.5,42628.125,2,1,5,0.0
17,RANDOM,8,0.375,11.666666666666666,25521.875,1,2,0,0.0
17,GREEDY,8,1.0,13.875,25290.625,1,3,4,0.0
17,STRATEGIC,8,0.75,11.666666666666666,28293.75,3,1,2,0.0
17,BOOSTER_ASSISTED,8,0.75,12.5,29175.0,3,1,2,0.375
18,RANDOM,8,0.0,0.0,26431.25,0,0,0,0.0
18,GREEDY,8,0.5,3.75,42618.75,0,0,4,0.0
18,STRATEGIC,8,0.375,7.0,26200.0,1,2,0,0.0
18,BOOSTER_ASSISTED,8,0.5,7.25,28131.25,1,2,1,0.625
19,RANDOM,8,0.75,5.166666666666667,18493.75,3,3,0,0.0
19,GREEDY,8,0.875,10.714285714285714,24259.375,3,2,2,0.0
19,STRATEGIC,8,1.0,11.125,22471.875,3,4,1,0.0
19,BOOSTER_ASSISTED,8,1.0,12.0,22446.875,3,4,1,0.375
20,RANDOM,8,0.25,6.5,31634.375,0,2,0,0.0
20,GREEDY,8,0.125,9.0,47515.625,0,1,0,0.0
20,STRATEGIC,8,0.625,11.2,48868.75,2,2,1,0.0
20,BOOSTER_ASSISTED,8,0.75,10.333333333333334,54712.5,2,2,2,0.875
21,RANDOM,8,1.0,13.125,21928.125,0,5,3,0.0
21,GREEDY,8,1.0,16.5,33071.875,1,1,6,0.0
21,STRATEGIC,8,1.0,17.375,16156.25,3,3,2,0.0
21,BOOSTER_ASSISTED,8,1.0,17.375,16156.25,3,3,2,0.0
22,RANDOM,8,0.875,15.142857142857142,40931.25,0,3,4,0.0
22,GREEDY,8,1.0,15.75,32518.75,0,3,5,0.0
22,STRATEGIC,8,1.0,17.125,28312.5,2,0,6,0.0
22,BOOSTER_ASSISTED,8,1.0,17.125,28312.5,2,0,6,0.0
23,RANDOM,8,1.0,5.625,21375.0,6,2,0,0.0
23,GREEDY,8,1.0,7.5,23618.75,3,5,0,0.0
23,STRATEGIC,8,1.0,12.125,18678.125,8,0,0,0.0
23,BOOSTER_ASSISTED,8,1.0,12.125,18678.125,8,0,0,0.0
24,RANDOM,8,0.75,8.666666666666666,19021.875,2,3,1,0.0
24,GREEDY,8,1.0,9.375,17971.875,3,5,0,0.0
24,STRATEGIC,8,1.0,16.0,15681.25,6,2,0,0.0
24,BOOSTER_ASSISTED,8,1.0,16.0,15681.25,6,2,0,0.0
25,RANDOM,8,0.25,8.0,19350.0,1,1,0,0.0
25,GREEDY,8,0.875,9.428571428571429,20412.5,4,3,0,0.0
25,STRATEGIC,8,1.0,14.125,16950.0,4,4,0,0.0
25,BOOSTER_ASSISTED,8,1.0,14.125,16950.0,4,4,0,0.0
26,RANDOM,8,1.0,15.75,17281.25,2,5,1,0.0
26,GREEDY,8,1.0,18.875,18106.25,3,4,1,0.0
26,STRATEGIC,8,1.0,19.375,15556.25,5,2,1,0.0
26,BOOSTER_ASSISTED,8,1.0,19.375,15556.25,5,2,1,0.0
27,RANDOM,8,1.0,13.125,32734.375,0,3,5,0.0
27,GREEDY,8,1.0,17.625,30321.875,0,4,4,0.0
27,STRATEGIC,8,1.0,16.875,31837.5,2,2,4,0.0
27,BOOSTER_ASSISTED,8,1.0,16.875,31837.5,2,2,4,0.0
28,RANDOM,8,0.25,13.5,21731.25,1,0,1,0.0
28,GREEDY,8,0.375,5.666666666666667,40031.25,0,0,3,0.0
28,STRATEGIC,8,0.875,7.714285714285714,24368.75,2,0,5,0.0
28,BOOSTER_ASSISTED,8,0.875,9.857142857142858,24368.75,2,0,5,0.375
29,RANDOM,8,0.875,11.142857142857142,18256.25,5,1,1,0.0
29,GREEDY,8,1.0,15.625,16762.5,6,1,1,0.0
29,STRATEGIC,8,1.0,20.75,9284.375,8,0,0,0.0
29,BOOSTER_ASSISTED,8,1.0,20.75,9284.375,8,0,0,0.0
30,RANDOM,8,0.875,5.571428571428571,21000.0,4,3,0,0.0
30,GREEDY,8,1.0,15.625,23531.25,3,5,0,0.0
30,STRATEGIC,8,1.0,11.25,18687.5,7,0,1,0.0
30,BOOSTER_ASSISTED,8,1.0,11.875,18687.5,7,0,1,0.125
31,RANDOM,8,1.0,13.375,23315.625,1,4,3,0.0
31,GREEDY,8,1.0,16.0,27421.875,0,3,5,0.0
31,STRATEGIC,8,1.0,16.625,20025.0,0,6,2,0.0
31,BOOSTER_ASSISTED,8,1.0,16.625,20025.0,0,6,2,0.0
32,RANDOM,8,0.5,5.25,23162.5,1,1,2,0.0
32,GREEDY,8,1.0,5.625,27318.75,1,3,4,0.0
32,STRATEGIC,8,1.0,11.5,17440.625,4,4,0,0.0
32,BOOSTER_ASSISTED,8,1.0,11.5,17440.625,4,4,0,0.0
33,RANDOM,8,0.0,0.0,23171.875,0,0,0,0.0
33,GREEDY,8,0.75,8.666666666666666,21290.625,3,2,1,0.0
33,STRATEGIC,8,0.75,8.666666666666666,27046.875,3,1,2,0.0
33,BOOSTER_ASSISTED,8,0.75,9.5,28890.625,3,1,2,0.375
34,RANDOM,8,0.125,1.0,22962.5,0,0,1,0.0
34,GREEDY,8,0.375,13.333333333333334,26396.875,1,2,0,0.0
34,STRATEGIC,8,0.75,16.166666666666668,21553.125,2,4,0,0.0
34,BOOSTER_ASSISTED,8,0.875,14.285714285714286,24340.625,2,4,1,0.625
35,RANDOM,8,0.25,9.0,19790.625,1,1,0,0.0
35,GREEDY,8,1.0,5.0,30593.75,6,1,1,0.0
35,STRATEGIC,8,1.0,10.25,30175.0,7,0,1,0.0
35,BOOSTER_ASSISTED,8,1.0,10.25,30175.0,7,0,1,0.0
36,RANDOM,8,0.125,5.0,23500.0,1,0,0,0.0
36,GREEDY,8,1.0,9.75,31250.0,2,0,6,0.0
36,STRATEGIC,8,1.0,17.0,15528.125,7,0,1,0.0
36,BOOSTER_ASSISTED,8,1.0,17.0,15528.125,7,0,1,0.0
37,RANDOM,8,0.625,6.2,17900.0,4,1,0,0.0
37,GREEDY,8,1.0,8.5,19809.375,5,3,0,0.0
37,STRATEGIC,8,1.0,13.0,14987.5,8,0,0,0.0
37,BOOSTER_ASSISTED,8,1.0,13.0,15006.25,8,0,0,0.125
38,RANDOM,8,0.0,0.0,20859.375,0,0,0,0.0
38,GREEDY,8,0.375,4.333333333333333,26284.375,1,0,2,0.0
38,STRATEGIC,8,0.875,7.714285714285714,21503.125,5,2,0,0.0
38,BOOSTER_ASSISTED,8,0.875,8.0,22250.0,5,2,0,0.75
39,RANDOM,8,0.0,0.0,25400.0,0,0,0,0.0
39,GREEDY,8,0.75,4.666666666666667,39875.0,1,1,4,0.0
39,STRATEGIC,8,0.375,14.333333333333334,35306.25,1,1,1,0.0
39,BOOSTER_ASSISTED,8,0.5,11.75,37175.0,1,1,2,0.625
40,RANDOM,8,0.125,3.0,20056.25,1,0,0,0.0
40,GREEDY,8,0.125,0.0,25790.625,1,0,0,0.0
40,STRATEGIC,8,0.625,9.2,17337.5,5,0,0,0.0
40,BOOSTER_ASSISTED,8,0.75,8.666666666666666,18812.5,6,0,0,1.625
41,RANDOM,8,0.875,7.857142857142857,15490.625,3,3,1,0.0
41,GREEDY,8,1.0,11.0,17853.125,2,5,1,0.0
41,STRATEGIC,8,0.875,12.571428571428571,13487.5,4,3,0,0.0
41,BOOSTER_ASSISTED,8,1.0,11.875,14662.5,4,3,1,0.625
42,RANDOM,8,0.875,6.571428571428571,16156.25,3,4,0,0.0
42,GREEDY,8,1.0,10.5,21190.625,2,5,1,0.0
42,STRATEGIC,8,1.0,10.25,14487.5,6,2,0,0.0
42,BOOSTER_ASSISTED,8,1.0,10.25,14487.5,6,2,0,0.0
43,RANDOM,8,0.875,9.714285714285714,20562.5,2,3,2,0.0
43,GREEDY,8,1.0,14.25,15353.125,7,1,0,0.0
43,STRATEGIC,8,1.0,17.0,12968.75,7,0,1,0.0
43,BOOSTER_ASSISTED,8,1.0,17.0,12968.75,7,0,1,0.0
44,RANDOM,8,0.625,8.4,20200.0,2,2,1,0.0
44,GREEDY,8,0.875,12.285714285714286,19118.75,3,4,0,0.0
44,STRATEGIC,8,1.0,18.125,11075.0,7,1,0,0.0
44,BOOSTER_ASSISTED,8,1.0,18.125,11075.0,7,1,0,0.0
45,RANDOM,8,0.625,6.8,24628.125,1,3,1,0.0
45,GREEDY,8,0.875,7.285714285714286,26793.75,2,2,3,0.0
45,STRATEGIC,8,1.0,14.875,15178.125,6,2,0,0.0
45,BOOSTER_ASSISTED,8,1.0,14.875,15178.125,6,2,0,0.0
46,RANDOM,8,0.875,4.571428571428571,20396.875,3,3,1,0.0
46,GREEDY,8,1.0,9.25,25528.125,1,4,3,0.0
46,STRATEGIC,8,1.0,9.375,21909.375,3,3,2,0.0
46,BOOSTER_ASSISTED,8,1.0,10.0,21909.375,3,3,2,0.125
47,RANDOM,8,1.0,16.375,8906.25,8,0,0,0.0
47,GREEDY,8,1.0,19.125,8581.25,8,0,0,0.0
47,STRATEGIC,8,1.0,19.75,6803.125,8,0,0,0.0
47,BOOSTER_ASSISTED,8,1.0,19.75,6803.125,8,0,0,0.0
48,RANDOM,8,0.875,10.142857142857142,15756.25,6,1,0,0.0
48,GREEDY,8,0.75,8.333333333333334,24387.5,4,0,2,0.0
48,STRATEGIC,8,1.0,16.125,13084.375,8,0,0,0.0
48,BOOSTER_ASSISTED,8,1.0,16.125,13084.375,8,0,0,0.0
49,RANDOM,8,0.125,2.0,24300.0,0,1,0,0.0
49,GREEDY,8,0.375,7.666666666666667,39312.5,0,1,2,0.0
49,STRATEGIC,8,0.5,15.0,22362.5,2,2,0,0.0
49,BOOSTER_ASSISTED,8,0.5,15.0,23362.5,2,2,0,0.25
50,RANDOM,8,0.375,11.0,25012.5,3,0,0,0.0
50,GREEDY,8,0.5,6.5,26609.375,4,0,0,0.0
50,STRATEGIC,8,1.0,6.75,26653.125,8,0,0,0.0
50,BOOSTER_ASSISTED,8,1.0,8.0,26653.125,8,0,0,0.25
51,RANDOM,8,1.0,11.5,11993.75,8,0,0,0.0
51,GREEDY,8,1.0,15.25,15331.25,7,1,0,0.0
51,STRATEGIC,8,1.0,17.75,11578.125,8,0,0,0.0
51,BOOSTER_ASSISTED,8,1.0,17.75,11578.125,8,0,0,0.0
52,RANDOM,8,0.5,6.5,19668.75,2,2,0,0.0
52,GREEDY,8,0.75,8.666666666666666,22309.375,4,2,0,0.0
52,STRATEGIC,8,0.875,15.285714285714286,15543.75,7,0,0,0.0
52,BOOSTER_ASSISTED,8,1.0,14.0,16678.125,7,1,0,0.625
53,RANDOM,8,0.25,7.5,24015.625,1,1,0,0.0
53,GREEDY,8,0.75,6.333333333333333,26440.625,3,2,1,0.0
53,STRATEGIC,8,1.0,10.875,18146.875,6,2,0,0.0
53,BOOSTER_ASSISTED,8,0.875,12.428571428571429,18084.375,6,1,0,0.625
54,RANDOM,8,0.5,4.25,25725.0,1,2,1,0.0
54,GREEDY,8,1.0,7.375,26393.75,2,5,1,0.0
54,STRATEGIC,8,1.0,4.5,21265.625,5,3,0,0.0
54,BOOSTER_ASSISTED,8,1.0,5.125,21265.625,5,3,0,0.125
55,RANDOM,8,0.0,0.0,22453.125,0,0,0,0.0
55,GREEDY,8,0.375,2.6666666666666665,36400.0,0,1,2,0.0
55,STRATEGIC,8,0.75,5.166666666666667,30856.25,1,4,1,0.0
55,BOOSTER_ASSISTED,8,0.75,6.833333333333333,33118.75,1,4,1,0.75
56,RANDOM,8,0.375,9.666666666666666,22140.625,1,1,1,0.0
56,GREEDY,8,0.5,10.0,22118.75,2,2,0,0.0
56,STRATEGIC,8,0.875,13.571428571428571,17534.375,7,0,0,0.0
56,BOOSTER_ASSISTED,8,1.0,12.25,19762.5,7,1,0,0.625
57,RANDOM,8,0.875,11.142857142857142,16865.625,6,1,0,0.0
57,GREEDY,8,1.0,13.375,21759.375,6,2,0,0.0
57,STRATEGIC,8,1.0,15.5,15209.375,7,1,0,0.0
57,BOOSTER_ASSISTED,8,1.0,15.5,15209.375,7,1,0,0.0
58,RANDOM,8,0.75,4.5,25371.875,5,0,1,0.0
58,GREEDY,8,0.75,11.166666666666666,26909.375,5,1,0,0.0
58,STRATEGIC,8,1.0,17.875,14256.25,8,0,0,0.0
58,BOOSTER_ASSISTED,8,1.0,17.875,14256.25,8,0,0,0.0
59,RANDOM,8,0.25,4.0,24487.5,2,0,0,0.0
59,GREEDY,8,0.25,1.0,24865.625,2,0,0,0.0
59,STRATEGIC,8,0.625,7.8,26528.125,5,0,0,0.0
59,BOOSTER_ASSISTED,8,1.0,6.625,30865.625,8,0,0,1.0
60,RANDOM,8,0.0,0.0,17684.375,0,0,0,0.0
60,GREEDY,8,0.5,6.5,22884.375,4,0,0,0.0
60,STRATEGIC,8,0.625,10.0,17675.0,5,0,0,0.0
60,BOOSTER_ASSISTED,8,0.875,9.0,18606.25,7,0,0,1.25
61,RANDOM,8,1.0,7.0,19693.75,5,1,2,0.0
61,GREEDY,8,1.0,9.75,15912.5,6,1,1,0.0
61,STRATEGIC,8,1.0,11.875,15959.375,5,3,0,0.0
61,BOOSTER_ASSISTED,8,1.0,11.875,15959.375,5,3,0,0.0
62,RANDOM,8,0.625,6.2,20112.5,2,2,1,0.0
62,GREEDY,8,1.0,9.125,21146.875,3,4,1,0.0
62,STRATEGIC,8,1.0,8.5,19862.5,3,4,1,0.0
62,BOOSTER_ASSISTED,8,1.0,8.5,19862.5,3,4,1,0.0
63,RANDOM,8,0.375,4.666666666666667,24193.75,1,1,1,0.0
63,GREEDY,8,0.75,8.333333333333334,21150.0,3,3,0,0.0
63,STRATEGIC,8,1.0,11.75,14093.75,7,1,0,0.0
63,BOOSTER_ASSISTED,8,1.0,12.375,13637.5,7,1,0,0.25
64,RANDOM,8,1.0,10.125,14171.875,7,1,0,0.0
64,GREEDY,8,1.0,15.0,15193.75,7,1,0,0.0
64,STRATEGIC,8,1.0,18.25,9034.375,8,0,0,0.0
64,BOOSTER_ASSISTED,8,1.0,18.25,9034.375,8,0,0,0.0
65,RANDOM,8,0.25,3.0,21843.75,1,0,1,0.0
65,GREEDY,8,0.5,8.25,36943.75,3,0,1,0.0
65,STRATEGIC,8,0.75,14.666666666666666,21275.0,5,1,0,0.0
65,BOOSTER_ASSISTED,8,0.75,15.0,24425.0,5,1,0,0.75
66,RANDOM,8,0.375,2.3333333333333335,20912.5,0,3,0,0.0
66,GREEDY,8,1.0,6.75,27650.0,2,5,1,0.0
66,STRATEGIC,8,1.0,8.125,24621.875,3,5,0,0.0
66,BOOSTER_ASSISTED,8,1.0,8.125,24621.875,3,5,0,0.0
67,RANDOM,8,1.0,10.75,16625.0,7,1,0,0.0
67,GREEDY,8,1.0,13.75,15818.75,8,0,0,0.0
67,STRATEGIC,8,1.0,17.5,10096.875,8,0,0,0.0
67,BOOSTER_ASSISTED,8,1.0,17.5,10096.875,8,0,0,0.0
68,RANDOM,8,1.0,10.875,14981.25,8,0,0,0.0
68,GREEDY,8,0.75,14.0,16946.875,5,1,0,0.0
68,STRATEGIC,8,1.0,15.75,13650.0,8,0,0,0.0
68,BOOSTER_ASSISTED,8,1.0,15.75,13650.0,8,0,0,0.0
69,RANDOM,8,0.25,7.5,21087.5,1,1,0,0.0
69,GREEDY,8,1.0,6.0,29837.5,3,5,0,0.0
69,STRATEGIC,8,1.0,13.25,16968.75,8,0,0,0.0
69,BOOSTER_ASSISTED,8,1.0,13.25,16968.75,8,0,0,0.0
70,RANDOM,8,0.125,16.0,14678.125,1,0,0,0.0
70,GREEDY,8,0.75,8.166666666666666,18725.0,6,0,0,0.0
70,STRATEGIC,8,1.0,15.875,10943.75,8,0,0,0.0
70,BOOSTER_ASSISTED,8,1.0,15.875,10943.75,8,0,0,0.0
71,RANDOM,8,0.625,8.2,11200.0,5,0,0,0.0
71,GREEDY,8,1.0,11.375,11071.875,8,0,0,0.0
71,STRATEGIC,8,1.0,14.125,7584.375,8,0,0,0.0
71,BOOSTER_ASSISTED,8,1.0,14.125,7584.375,8,0,0,0.0
72,RANDOM,8,0.875,10.142857142857142,12425.0,7,0,0,0.0
72,GREEDY,8,1.0,11.875,10315.625,8,0,0,0.0
72,STRATEGIC,8,1.0,13.75,11300.0,8,0,0,0.0
72,BOOSTER_ASSISTED,8,1.0,14.125,11093.75,8,0,0,0.375
73,RANDOM,8,0.5,9.25,15693.75,4,0,0,0.0
73,GREEDY,8,0.75,9.5,14971.875,6,0,0,0.0
73,STRATEGIC,8,0.875,10.428571428571429,11696.875,7,0,0,0.0
73,BOOSTER_ASSISTED,8,1.0,10.125,12059.375,8,0,0,0.625
74,RANDOM,8,0.75,6.5,11571.875,6,0,0,0.0
74,GREEDY,8,1.0,8.375,14937.5,8,0,0,0.0
74,STRATEGIC,8,0.875,12.571428571428571,9134.375,7,0,0,0.0
74,BOOSTER_ASSISTED,8,1.0,11.375,9175.0,8,0,0,0.25
75,RANDOM,8,0.125,0.0,16221.875,1,0,0,0.0
75,GREEDY,8,0.625,5.0,24384.375,5,0,0,0.0
75,STRATEGIC,8,0.875,11.0,17059.375,7,0,0,0.0
75,BOOSTER_ASSISTED,8,1.0,10.5,17118.75,8,0,0,0.625
76,RANDOM,8,0.0,0.0,15362.5,0,0,0,0.0
76,GREEDY,8,0.25,2.0,20303.125,1,1,0,0.0
76,STRATEGIC,8,0.5,9.5,17400.0,4,0,0,0.0
76,BOOSTER_ASSISTED,8,0.875,8.285714285714286,18306.25,7,0,0,2.25
77,RANDOM,8,0.0,0.0,15875.0,0,0,0,0.0
77,GREEDY,8,0.125,5.0,20775.0,1,0,0,0.0
77,STRATEGIC,8,0.125,5.0,17503.125,1,0,0,0.0
77,BOOSTER_ASSISTED,8,0.125,5.0,19203.125,1,0,0,1.25
78,RANDOM,8,0.625,6.4,16140.625,5,0,0,0.0
78,GREEDY,8,0.75,10.0,15981.25,6,0,0,0.0
78,STRATEGIC,8,0.75,11.833333333333334,13950.0,6,0,0,0.0
78,BOOSTER_ASSISTED,8,1.0,9.5,15450.0,8,0,0,0.375
79,RANDOM,8,0.25,6.5,15528.125,2,0,0,0.0
79,GREEDY,8,0.625,6.4,19118.75,5,0,0,0.0
79,STRATEGIC,8,0.875,8.0,16875.0,7,0,0,0.0
79,BOOSTER_ASSISTED,8,1.0,7.5,17531.25,8,0,0,0.625
80,RANDOM,8,0.25,3.5,17240.625,2,0,0,0.0
80,GREEDY,8,0.25,2.5,20771.875,2,0,0,0.0
80,STRATEGIC,8,1.0,6.625,22412.5,8,0,0,0.0
80,BOOSTER_ASSISTED,8,1.0,7.625,20468.75,8,0,0,0.625
81,RANDOM,8,0.125,8.0,14287.5,1,0,0,0.0
