level,strategy,samples,win_rate,remaining_on_win,mean_score,one_star,two_star,three_star,boosters_per_game
1,RANDOM,8,1.0,16.125,31943.75,0,1,7,0.0
1,GREEDY,8,1.0,17.625,29675.0,0,1,7,0.0
1,STRATEGIC,8,1.0,17.5,52900.0,0,1,7,0.0
1,BOOSTER_ASSISTED,8,1.0,17.5,52900.0,0,1,7,0.0
2,RANDOM,8,1.0,18.5,33506.25,0,0,8,0.0
2,GREEDY,8,1.0,18.75,25956.25,0,0,8,0.0
2,STRATEGIC,8,1.0,19.125,55218.75,0,0,8,0.0
2,BOOSTER_ASSISTED,8,1.0,19.125,55218.75,0,0,8,0.0
3,RANDOM,8,1.0,18.5,12137.5,5,3,0,0.0
3,GREEDY,8,1.0,21.125,14487.5,4,2,2,0.0
3,STRATEGIC,8,1.0,20.625,16331.25,0,6,2,0.0
3,BOOSTER_ASSISTED,8,1.0,20.625,16331.25,0,6,2,0.0
4,RANDOM,8,1.0,13.625,21081.25,0,1,7,0.0
4,GREEDY,8,1.0,17.5,23350.0,0,0,8,0.0
4,STRATEGIC,8,1.0,17.5,21287.5,0,2,6,0.0
4,BOOSTER_ASSISTED,8,1.0,17.5,21287.5,0,2,6,0.0
5,RANDOM,8,0.875,9.428571428571429,32637.5,0,0,7,0.0
5,GREEDY,8,1.0,16.625,30575.0,0,0,8,0.0
5,STRATEGIC,8,1.0,15.5,25300.0,1,0,7,0.0
5,BOOSTER_ASSISTED,8,1.0,16.125,25300.0,1,0,7,0.125
6,RANDOM,8,1.0,17.0,22975.0,0,2,6,0.0
6,GREEDY,8,1.0,20.375,27975.0,0,3,5,0.0
6,STRATEGIC,8,1.0,19.875,21025.0,0,1,7,0.0
6,BOOSTER_ASSISTED,8,1.0,19.875,21025.0,0,1,7,0.0
7,RANDOM,8,0.625,15.8,67943.75,0,0,5,0.0
7,GREEDY,8,1.0,21.375,33568.75,0,3,5,0.0
7,STRATEGIC,8,1.0,22.125,34262.5,0,1,7,0.0
7,BOOSTER_ASSISTED,8,1.0,22.125,34262.5,0,1,7,0.0
8,RANDOM,8,1.0,13.25,15100.0,1,5,2,0.0
