level,wins,two_star,three_star
1,24,15800,45200
2,24,17200,46100
3,24,13900,17400
4,24,16900,29100
5,23,24200,34800
6,24,19900,27100
7,21,29200,50700
8,24,14100,18200
9,20,27100,50900
10,22,20900,24700
11,24,15400,20200
12,24,24000,33500
13,22,22800,31300
14,22,24400,50700
15,21,17800,28100
16,24,34900,65100
17,18,17800,26900
18,21,20300,24700
19,21,19400,26300
20,17,34300,45000
21,24,17500,28300
22,23,23200,34200
23,24,19400,23400
24,22,15900,21500
25,18,15700,23500
26,24,15200,20100
27,24,23800,44300
28,18,18500,29100
29,23,11900,17200
30,23,17900,24900
31,24,22300,30400
32,20,19100,29500
33,13,18300,27900
34,12,25700,32600
35,18,24600,29900
36,18,16200,32900
37,21,17200,19900
38,10,21400,33500
39,14,37100,44500
40,7,18700,24500
41,22,16700,19200
42,23,14900,19700
43,23,12000,18900
44,18,10800,19500
45,20,17400,28700
46,22,19600,27600
47,24,7200,9000
48,21,13500,20000
49,17,21000,30100
50,15,27100,30800
51,24,10800,15400
52,17,16400,21100
53,16,18300,29800
54,20,23700,30400
55,12,16800,27000
56,15,20600,28800
57,23,13700,21900
58,21,19500,27400
59,9,30000,31100
60,11,15500,26700
61,24,13500,20500
62,21,18800,20800
63,17,14400,22400
64,24,10800,15900
65,20,17100,24300
66,19,24300,33700
67,24,11100,19400
68,22,13400,18400
69,18,19400,29200
70,16,13500,17400
71,21,9000,10500
72,23,9600,12900
73,17,11100,14100
74,21,10000,15300
75,11,16900,24200
76,5,17600,27600
77,3,34000,52000
78,17,13200,16500
79,14,15700,19600
80,12,17800,22400
81,8,10400,17400
82,10,14500,22800
83,9,15100,17000
84,11,14900,22100
85,5,19100,24300
86,21,11700,17200
87,9,14400,17000
88,24,12700,16500
89,4,23900,28900
90,11,18500,23100
91,13,13300,20100
92,10,15200,19600
93,9,18200,24900
94,23,13000,18000
95,6,19300,23600
96,16,12100,16600
97,14,18300,20500
98,14,13500,24300
99,16,16000,21600
100,11,36600,45400
101,24,10900,23800
102,21,17700,37800
103,21,21300,29400
104,22,23900,30200
105,18,25900,34400
106,22,14700,26300
107,23,15800,31700
108,23,18000,28500
109,21,17400,29400
110,15,22700,35300
111,23,14200,28400
112,23,21400,29000
113,24,16200,23400
114,23,13900,23100
115,20,21700,38700
116,24,18200,25600
117,23,14000,28500
118,20,19500,26800
119,22,17700,30400
120,17,23500,36600
121,23,15400,22800
122,23,12900,24700
123,21,13700,30600
124,24,17600,28800
125,17,21000,34400
126,22,18200,33900
127,23,9800,23500
128,20,18200,29800
129,22,12500,28400
130,18,22300,36500
131,23,15700,25600
132,23,18400,33800
133,23,10700,20500
134,24,18600,29600
135,17,22100,43100
136,21,22300,29100
137,23,12200,21800
138,22,11400,28600
139,24,15500,21000
140,17,13900,27900
141,23,7000,12400
142,18,8600,19000
143,23,7300,11900
144,18,18700,24200
145,12,17600,20800
146,23,8200,14500
147,20,8900,13500
148,16,20500,24600
149,24,8000,15600
150,10,16400,23500
151,23,6000,8600
152,19,16500,21000
153,24,7700,12200
154,21,11300,13800
155,9,16600,21800
156,21,16800,21200
157,21,10600,18400
158,23,7700,10500
159,22,6600,13300
160,9,17800,22200
161,20,8400,13300
162,23,6600,12400
163,15,12300,19300
164,15,16200,20800
165,7,17200,23700
166,20,8600,13000
167,18,7200,16000
168,11,17600,22600
169,13,9500,15600
170,10,17300,26500
171,18,10600,19800
172,21,15100,22100
173,19,9000,17800
174,23,7200,14000
175,7,17800,28400
176,19,15100,20400
177,14,8500,16000
178,19,7400,13900
179,22,7600,14900
180,13,16300,22400
181,20,8200,15700
182,19,12500,20700
183,20,6800,12300
184,14,17500,23300
185,15,15300,23800
186,19,10400,14600
187,20,11100,15700
188,18,17300,25500
189,22,10100,18800
190,6,14900,29300
191,20,9300,19600
192,13,21500,22700
193,21,9700,16700
194,15,8700,18600
195,5,16000,18100
196,13,16800,24400
197,19,10100,17300
198,17,10700,18200
199,21,7900,12300
200,12,15500,21900
